id,designer,links,description
69,Bottega_Veneta,http://www.theoutnet.com/en-US/Shop/Designers/Bottega_Veneta,"Bottega Veneta is an Italian luxury goods and high fashion brand house best known for its leather goods which are sold worldwide and its men's and women's ready-to-wear. Founded in 1966 in Vicenza, Veneto of northeastern Italy, its atelier is located within an 18th-century villa in Montebello Vicentino and its headquarters is in Lugano, Switzerland with offices in Milan and Vicenza, Italy. In 2001, Bottega Veneta was purchased by Gucci Group, and is now a part of the French multinational group Kering. In September 2016, it was announced that Claus-Dietrich Lahrs would be named CEO, replacing Carlo Beretta."
70,Bouchra_Jarrar,http://www.theoutnet.com/en-US/Shop/Designers/Bouchra_Jarrar,"Bouchra Jarrar (born November 14, 1970 in Cannes) is a French haute couture fashion designer."
71,Bounkit,http://www.theoutnet.com/en-US/Shop/Designers/Bounkit,"There is no description available for this label, but you can still click the link to see their styles!"
72,Boutique_Moschino,http://www.theoutnet.com/en-US/Shop/Designers/Boutique_Moschino,"There is no description available for this label, but you can still click the link to see their styles!"
73,Brian_Atwood,http://www.theoutnet.com/en-US/Shop/Designers/Brian_Atwood,Brian Atwood (August 4) is an American shoe designer. He studied at the Fashion Institute of Technology before becoming a model. He gave Versace management a handwritten resume which led to a job offer.
74,Brunello_Cucinelli,http://www.theoutnet.com/en-US/Shop/Designers/Brunello_Cucinelli,"Brunello Cucinelli (born September 3, 1953 at Castel Rigone) is an Italian fashion designer and eponymous chief executive of his brand, Brunello Cucinelli. He donates up to 20% of his profits through the Brunello Cucinelli Foundation."
75,Burberry,http://www.theoutnet.com/en-US/Shop/Designers/Burberry,"Burberry Group, Inc., is a British luxury fashion house headquartered in London, England. Its main fashion house focuses on and distributes ready-to-wear outerwear, fashion accessories, fragrances, sunglasses, and cosmetics.
Established in 1856 by Thomas Burberry, originally focusing on the development of outdoor attire, the fashion house has moved on to the high fashion market developing pattern-based scarves, trench coats, and other fashion accessories. The first shop opened up in the Haymarket, London, in 1891. Burberry was an independent family controlled company until 1955, when it was reincorporated. The fashion house has dressed notable actors, world leaders, musicians, and athletes."
76,By_Malene_Birger,http://www.theoutnet.com/en-US/Shop/Designers/By_Malene_Birger,"Malene Birger is a Danish fashion designer. She co-founded Day Birger et Mikkelsen in 1997 and By Malene Birger in 2003. Birger graduated from the Danish Design School in 1989. She began her career in the fashion industry in 1989 as designer at Jackpot by Carli Gry. She was also the head designer of women's wear at Marc O'Polo in Stockholm.

In 1997, Birger co-founded the company Day Birger et Mikkelsen. She was the creative director of the company until leaving it in 2002.[1] In 2003, she founded By Malene Birger in collaboration with IC Group. In 2010, Birger sold her share of the company to IC Group.[1][2] She left the position as creative director in January 2014 and now runs the interior design company Birger1962."
77,C_Mira_Mikati,http://www.theoutnet.com/en-US/Shop/Designers/C_Mira_Mikati,"There is no description available for this label, but you can still click the link to see their styles!"
78,Calvin_Klein_Underwear,http://www.theoutnet.com/en-US/Shop/Designers/Calvin_Klein_Underwear,"In the 1980s, as the designer-jeans frenzy reached its all-time high, Calvin Klein introduced a highly successful line of boxer shorts for women and a men's underwear collection which would later gross $70 million in a single year. Calvin Klein's underwear business, promoted later in the 1990s with giant billboards showing images of pop singer Mark ""Marky Mark"" Wahlberg, became so successful that his underpants became generally known as ""Calvins"". In the early 1980s, Klein changed the American market of men's underwear—one where most men's underwear was white, purchased in packs of three by a ""wife, mother or girlfriend when they needed to be"" to one where ""the American male [cares] about the brand of something few ever see""."
79,Camilla_Skovgaard,http://www.theoutnet.com/en-US/Shop/Designers/Camilla_Skovgaard,"There is no description available for this label, but you can still click the link to see their styles!"
80,Canada_Goose,http://www.theoutnet.com/en-US/Shop/Designers/Canada_Goose,"Canada Goose Inc. is a Canadian manufacturer of winter clothing. The company was founded in 1957 by Sam Tick, under the name Metro Sportswear Ltd. Canada Goose manufactures a wide range of jackets, parkas, vests, hats, gloves, shells and other apparel. Some Canada Goose jackets use coyote fur on the hoods and are often filled with down which is purchased from Hutterite farmers in rural Canada"". Duck down is used for most models. The jackets retail between $600 and $1,275; the ""Kensington"", its best-selling women's coat, retails for approximately $745."
81,Carbon_and_Hyde,http://www.theoutnet.com/en-US/Shop/Designers/Carbon_and_Hyde,"There is no description available for this label, but you can still click the link to see their styles!"
82,Carine_Gilson,http://www.theoutnet.com/en-US/Shop/Designers/Carine_Gilson, Lingerie New York was produced by fashion week regular Lynne O'Neill and showcased the latest collections of lingerie designers Atsuko Kudo and Carine Gilson.
83,Carolina_Bucci,http://www.theoutnet.com/en-US/Shop/Designers/Carolina_Bucci,"Carolina Bucci (born 1976) is an Italian jewellery designer. Born in Florence, Italy, she lives between London, UK and New York City, United States."
84,Carven,http://www.theoutnet.com/en-US/Shop/Designers/Carven,"Marie-Louise Carven (31 August 1909 – 8 June 2015) was a French fashion designer who founded the house of Carven in 1945.[3] She was noted for her designs for petite women, her use of lightweight fabrics such as lace and pink gingham, and for being one of the first couturieres to launch a prêt-à-porter line.[4] She was the first Paris designer to patent a push-up bra."
85,Casadei,http://www.theoutnet.com/en-US/Shop/Designers/Casadei,"There is no description available for this label, but you can still click the link to see their styles!"
86,Catherine_Deane,http://www.theoutnet.com/en-US/Shop/Designers/Catherine_Deane,"There is no description available for this label, but you can still click the link to see their styles!"
87,Causse_Gantier,http://www.theoutnet.com/en-US/Shop/Designers/Causse_Gantier,"There is no description available for this label, but you can still click the link to see their styles!"
88,Cedric_Charlier,http://www.theoutnet.com/en-US/Shop/Designers/Cedric_Charlier,"There is no description available for this label, but you can still click the link to see their styles!"
89,Chalayan,http://www.theoutnet.com/en-US/Shop/Designers/Chalayan,"Hussein Chalayan MBE (/huːˌseɪn ˈʃʌləjɑːn/; given name Hüseyin Çağlayan, Turkish: [hyseˌjin ʧaːlaˈjan]) (born 8 August 1970) is a British/Turkish Cypriot fashion designer. He has won the British Designer of the Year twice (in 1999 and 2000) and was awarded the MBE in 2006. Chalayan is currently teaching at University of Applied Arts Vienna."
90,Chan_Luu,http://www.theoutnet.com/en-US/Shop/Designers/Chan_Luu,"There is no description available for this label, but you can still click the link to see their styles!"
91,Charlotte_Olympia,http://www.theoutnet.com/en-US/Shop/Designers/Charlotte_Olympia,"There is no description available for this label, but you can still click the link to see their styles!"
92,Chelsea_Flower,http://www.theoutnet.com/en-US/Shop/Designers/Chelsea_Flower,"There is no description available for this label, but you can still click the link to see their styles!"
